Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_IoT33,
A2,DRV8825 Stepper Motor Module,1,DRV8825 StepperDriver,
C1,C_0805_2012_HandSolder_kawaii,1,100nF,
"C10, C14, C8, C9",0805,4,1uF,
"C11, C12, C16",0805,3,100nF,
"C13, C3, C4",C_0805_2012_HandSolder_kawaii,3,1uF,
C15,0805,1,2.2uF,
"C2, C5, C6, C7",0805,4,220pF,
D1,0805,1,12v,
D2,D_MiniMELF,1,BZV55B10-500mA-10v,
D3,0805,1,5v Audio,
D4,0805,1,5v MCU,
D5,0805,1,3v3,
D6,0805,1,LED1,
D7,D_SMA,1,MBRA340,
D8,0805,1,LED2,
D9,D_SMB_Handsoldering,1,1N5821_equ_SMB,
"EC1, EC7, EC8",CP_Elec_10x10,3,220uF,
"EC2, EC3, EC4, EC6, EC9",CP_Elec_6.3x7.7,5,220uF,
EC5,CP_Elec_6.3x7.7,1,470uF,
F1,littlefuse-154-nano-block-holster,1,3.5A,
"FB1, FB2, FB3, FB4",0805,4,FB,
"H1, H2, H3, H4",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J1,AMASS_XT60PW-M_1x02_P7.20mm_Horizontal,1,XT60_60A_male,
J10,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",1,Pump,
J14,TerminalBlock_01_03_medium_5.008mm,1,Moisture Sensor,
J7,TerminalBlock_medium_5.008mm,1,Wave Gen,
J8,TerminalBlock_medium_5.008mm,1,LED 660mA,
J9,TerminalBlock_medium_5.008mm,1,12v Power,
"L1, L2",L_12x12mm_H8mm,2,33uH,
PT1,Potentiometer_Bourns-pot,1,10k,
Q1,TO-263-3_TabPin2,1,IRF5305S_PBF_smd,
R1,0805,1,330r,
"R11, R12, R13, R14, R21, R3, R4",0805,7,1k,
"R15, R16, R17",0805,3,0.3r,
"R18, R19, R20, R7, R8",0805,5,10k,
"R2, R5, R6",0805,3,4k7,
U1,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U10,TO-263-5_TabPin3,1,LM2596S-5,
U2,SO-16_5.3x10.2mm_P1.27mm,1,PAM8403,
U3,SOT-223-3_TabPin2,1,AMS1117-5.0,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,femtoBuck,1,femtoBuck_LED_driver,
U7,TSOT-23-5,1,AL8860,
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP4151-104E-ML,
