Designator,Mid X,Mid Y,Rotation,Layer
A1,97.74,-94.12,270.0,top
A2,95.75,-119.87,180.0,top
C1,142.55,-119.7375,90.0,top
C10,148.85,-128.3625,270.0,top
C11,164.4,-43.5375,270.0,top
C12,157.5,-43.5375,90.0,top
C13,131.7625,-109.89,0.0,top
C14,145.4,-94.7375,90.0,top
C15,134.0,-100.2625,90.0,top
C16,138.1875,-122.7,180.0,top
C2,154.3,-128.3625,90.0,top
C3,142.95,-113.0375,90.0,top
C4,143.85,-128.3375,90.0,top
C5,157.35,-113.0625,90.0,top
C6,154.65,-113.0625,270.0,top
C7,157.3,-122.4925,90.0,top
C8,149.8,-113.03,90.0,top
C9,147.55,-113.03,90.0,top
D1,141.0,-46.5,0.0,top
D2,92.15,-66.6,180.0,top
D3,141.0,-51.5,0.0,top
D4,141.0,-56.5,0.0,top
D5,141.0,-61.5,0.0,top
D6,125.2,-96.175,90.0,top
D7,142.2,-100.4,180.0,top
D8,122.6,-96.125,90.0,top
D9,106.7,-74.2,0.0,top
EC1,119.1,-68.2,180.0,top
EC10,124.8,-115.5,90.0,top
EC2,118.1,-46.3,270.0,top
EC3,121.5,-58.2,90.0,top
EC4,132.7,-58.2,90.0,top
EC5,93.9,-73.3,0.0,top
EC6,128.8,-68.2,0.0,top
EC7,128.9,-75.3,180.0,top
EC9,108.5,-113.9,270.0,top
F1,88.05,-43.6125,0.0,top
FB1,157.35,-117.65,90.0,top
FB2,152.15,-113.1,90.0,top
FB3,151.65,-128.35,270.0,top
FB4,157.3,-126.68,90.0,top
J1,80.525,-55.25,90.0,top
J10,81.5,-120.32,270.0,top
J14,165.446,-66.92075,90.0,top
J15,171.6,-52.09,180.0,top
J7,165.4,-114.04,90.0,top
J8,165.4,-98.46,90.0,top
J9,82.1,-69.44,270.0,top
L1,153.5,-99.05,90.0,top
L2,107.25,-64.0,0.0,top
PT1,132.7,-116.43,270.0,top
Q1,92.825,-54.525,90.0,top
R1,87.4,-67.4,90.0,top
R11,136.2,-49.3,0.0,top
R12,90.2,-90.74,270.0,top
R13,93.2,-90.74,270.0,top
R14,125.2,-103.6,90.0,top
R15,143.5,-104.3,90.0,top
R16,141.9,-97.0,180.0,top
R17,141.8,-92.5,180.0,top
R18,112.0,-127.5,180.0,top
R19,112.0,-124.45,180.0,top
R2,136.2,-43.4,0.0,top
R20,112.0,-121.1,180.0,top
R21,122.6,-103.6,90.0,top
R3,136.2,-46.4,0.0,top
R4,140.9,-65.7,0.0,top
R5,100.25,-97.74,90.0,top
R6,97.75,-97.75,90.0,top
R7,145.35,-113.0,270.0,top
R8,146.25,-128.3,90.0,top
U1,161.025,-43.5,0.0,top
U10,106.175,-46.875,90.0,top
U2,149.475,-120.7125,270.0,top
U3,129.35,-44.8,180.0,top
U5,119.5,-75.6,180.0,top
U6,154.2,-86.27,90.0,top
U7,138.3375,-104.35,180.0,top
U8,132.175,-125.405,270.0,top
